date,SBI_Bluechip,ICICI_Bluechip,Nippon_Large_Cap,Axis_Bluechip,Kotak_Bluechip
2014-05-12,106.283,20.4204,17.0811,27.0881,35.0663
2014-05-13,106.2773,20.553,17.3691,27.0947,35.1825
2014-05-14,106.2773,20.4753,17.3858,27.1012,35.1825
2014-05-15,106.371,20.4944,17.2971,27.1077,35.1011
2014-05-16,106.578,20.6892,17.7003,27.1137,35.2264
2014-05-18,106.578,20.6892,17.7003,27.1274,35.2264
2014-05-19,106.5839,20.9973,18.0749,27.1338,35.3626
2014-05-20,106.5899,21.1322,18.2096,27.1406,35.5816
2014-05-21,106.6686,21.2438,18.284,27.1474,35.7331
2014-05-22,106.7537,21.4746,18.4562,27.154,35.9131
2014-05-23,106.9316,21.6334,18.7953,27.1604,35.962
2014-05-25,106.9316,21.6334,18.7953,27.1733,35.962
2014-05-26,106.9784,21.5244,18.7217,27.1798,35.7583
2014-05-27,107.0365,21.5816,18.6606,27.1863,35.6921
2014-05-28,107.0496,21.5662,18.7759,27.1928,35.8232
2014-05-29,107.1021,21.443,18.5928,27.1994,35.7832
2014-05-30,107.1905,21.5867,18.4698,27.206,35.808
2014-06-01,107.1905,21.5867,18.4698,27.2189,35.808
